,NMDGF,sample_year,NK,taxon_name,intermediate,sex,uncertain_sex,bursa,length_mm_1,length_mm_2,length_mm_3,anterior_width,poserior_width,width_2nd_curve,width_straight_mdpt,mass_trachea+syrinx,segment_count1,segment_count2,taxon.name,tail,wing.chord,anterior.culmen,posterior.culmen,tarsus,data.origin,mass,width_1st_curve,mean_trachea_length,segment_count_mean,County,Date,Age,trachea.diameter,segment_width,prop_trachea,log_mass,mass13,log_mtl,sus,BMI.tars,BMI.trach,BMI.wing,glottis_opening_length,larynx_width,brochus_width,syrnix_length_middle
257,NA,NA,45400,Antigone canadensis tabida,NA,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,185,493,83.1,96.1,227,NMDGF,5140,NA,692,NA,2,NA,Adult,11,NA,0.13463035,3.710963119,17.25789039,2.840106094,chill,10.47371383,1.127042334,2.220539891,,,,
243,NA,NA,45745,Antigone canadensis tabida,NA,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,185,511,81.7,98.2,231,NMDGF,5141,NA,717,NA,3,NA,Adult,10.5,NA,0.13946703,3.711047604,17.25900951,2.855519156,chill,10.11609603,1.050022467,2.067260006,,,,
219,NA,NA,45788,Antigone canadensis canadensis,NA,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,160,443,63,72.3,182,NMDGF,2755,NA,625,NA,3,NA,Adult,8.8,NA,0.226860254,3.440121603,14.01868254,2.795880017,chill,8.733093829,0.740544,1.47402025,,,,
217,NA,NA,45924,Antigone canadensis canadensis,NA,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,172,462,62.8,74.1,191,NMDGF,3559,NA,662,NA,2,NA,Adult,9.8,NA,0.186007305,3.551327988,15.26778361,2.820857989,chill,10.24355144,0.852709906,1.750787092,,,,
229,NA,NA,46157,Antigone canadensis canadensis,NA,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,159,441,66.7,75.5,183,NMDGF,3340,NA,579,NA,2,NA,Adult,9.9,NA,0.173353293,3.523746467,14.94796787,2.762678564,chill,10.47209531,1.046113095,1.803260987,,,,
246,NA,NA,46649,Antigone canadensis tabida,NA,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,197,514,79.5,91.3,231,NMDGF,5256,NA,710,NA,3,NA,Adult,11.9,NA,0.135083714,3.720655357,17.38675171,2.851258349,chill,10.34238489,1.094782781,2.088903693,,,,
218,NA,NA,46662,Antigone canadensis canadensis,NA,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,173,469,66.2,76.1,194,NMDGF,3523,NA,674,NA,2,NA,Adult,9.9,NA,0.191314221,3.546912643,15.21613015,2.828659897,chill,9.828754384,0.814295714,1.681729943,,,,
251,NA,NA,46757,Antigone canadensis tabida,NA,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,185,500,93,106.7,244,NMDGF,5195,NA,739,NA,3,NA,Adult,11.8,NA,0.142252166,3.715585552,17.31922751,2.868644438,chill,9.162103601,0.998817112,2.1819,,,,
245,NA,NA,46967,Antigone canadensis tabida,NA,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,183,509,87.2,102.3,218,NMDGF,4992,NA,721,NA,3,NA,Adult,10.9,NA,0.14443109,3.698274577,17.09063473,2.857935265,chill,11.02937463,1.00830831,2.023151061,,,,
228,NA,NA,47732,Antigone canadensis canadensis,NA,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,165,456,68.4,77.8,196,NMDGF,4034,NA,663,NA,3,NA,Adult,9.4,NA,0.164353,3.605735894,15.91886005,2.821513528,chill,11.02587464,0.963602984,2.037021006,,,,
